2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴ 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 아 됫당 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㅁ니ㅏ이ㅏㅁㅇ 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 히히힣 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: repl.it 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: 에 호스팅 돌려보자 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 제로야 😡 😡 😡 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: https://zeroisgod.0000000.host/zeroisgod/XyDlv084 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 없는명령어쳐도 터지나 ㅋㅋ 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: !              ＺＲＥＯ_ＺＲＥＯ#2021 | 메시지: ㄴ 
2021년 08월 10일 18시 28분 | 서버: ZERO COMPANY -ANTI TOS | 채널: 🌈ㅣ채팅채널 | 유저: whoongyi_KR#0062 | 메시지: 아니네 
